x,y,z,C,R,G,B
0.00,0.00,0.00,0,0.0,0.0,0.0
-5.91,-9.54,3.43,1,228.0,253.4,92.7
-5.94,-9.53,3.43,1,228.0,253.4,92.7
-6.04,-9.62,3.47,1,228.0,253.4,92.7
-5.94,-9.41,3.40,1,228.0,253.4,92.7
-6.13,-9.64,3.49,1,228.0,253.4,92.7
-6.15,-9.61,3.49,1,228.0,253.4,92.7
-6.14,-9.45,3.44,1,228.0,253.4,92.7
-6.23,-9.40,3.45,1,228.0,253.4,92.7
-6.07,-9.04,3.33,1,228.0,253.4,92.7
-6.09,-9.01,3.32,1,228.0,253.4,92.7
-6.33,-9.31,3.44,1,228.0,253.4,92.7
-6.34,-9.26,3.43,1,228.0,253.4,92.7
-6.07,-9.63,3.35,1,228.0,253.4,92.7
-6.14,-8.91,3.31,1,228.0,253.4,92.7
-6.15,-9.69,3.37,1,228.0,253.4,92.7
-6.22,-8.96,3.33,1,228.0,253.4,92.7
-6.14,-9.61,3.35,1,228.0,253.4,92.7
-6.34,-9.08,3.38,1,228.0,253.4,92.7
-6.16,-9.57,3.35,1,228.0,253.4,92.7
-6.48,-9.28,2.99,1,228.0,253.4,92.7
-6.28,-8.94,3.34,1,228.0,253.4,92.7
-6.21,-9.58,3.35,1,228.0,253.4,92.7
-6.33,-8.95,3.35,1,228.0,253.4,92.7
-6.08,-9.32,3.27,1,228.0,253.4,92.7
-6.37,-8.94,3.35,1,228.0,253.4,92.7
-6.24,-9.51,3.34,1,228.0,253.4,92.7
-6.88,-9.67,3.13,1,228.0,253.4,92.7
-6.51,-9.09,3.42,1,228.0,253.4,92.7
-6.64,-9.21,3.47,1,228.0,253.4,92.7
-6.19,-9.31,3.29,1,228.0,253.4,92.7
-6.73,-9.27,3.50,1,228.0,253.4,92.7
-6.23,-9.31,3.29,1,228.0,253.4,92.7
-6.79,-9.29,3.52,1,228.0,253.4,92.7
-6.32,-9.37,3.32,1,228.0,253.4,92.7
-6.79,-9.23,3.50,1,228.0,253.4,92.7
-6.37,-9.39,3.34,1,228.0,253.4,92.7
-6.94,-9.38,3.57,1,228.0,253.4,92.7
-6.35,-9.29,3.31,1,228.0,253.4,92.7
-6.99,-9.39,3.58,1,228.0,253.4,92.7
-6.31,-9.18,3.27,1,228.0,253.4,92.7
-6.91,-9.29,3.05,1,228.0,253.4,92.7
-7.02,-9.36,3.58,1,228.0,253.4,92.7
-6.45,-9.31,3.33,1,228.0,253.4,92.7
