x,y,z,C,R,G,B
0.00,0.00,0.00,0,0.0,0.0,0.0
-17.34,-14.92,2.53,1,37.5,10.3,107.7
-17.27,-14.76,2.51,1,37.5,10.3,107.7
-17.45,-14.83,2.53,1,37.5,10.3,107.7
-17.32,-14.63,2.51,1,37.5,10.3,107.7
-17.15,-14.47,1.66,1,37.5,10.3,107.7
-17.21,-14.44,2.49,1,37.5,10.3,107.7
-17.11,-14.34,1.65,1,37.5,10.3,107.7
-17.35,-14.47,2.50,1,37.5,10.3,107.7
-17.36,-14.39,2.49,1,37.5,10.3,107.7
-17.32,-14.26,2.48,1,37.5,10.3,107.7
-17.21,-14.16,1.64,1,37.5,10.3,107.7
-17.45,-14.28,5.06,1,37.5,10.3,107.7
-17.25,-14.12,2.47,1,37.5,10.3,107.7
-17.33,-15.26,2.32,1,37.5,10.3,107.7
-17.08,-13.96,1.63,1,37.5,10.3,107.7
-17.41,-14.16,4.17,1,37.5,10.3,107.7
-17.40,-14.15,2.48,1,37.5,10.3,107.7
-17.37,-15.21,2.32,1,37.5,10.3,107.7
-17.10,-13.89,1.63,1,37.5,10.3,107.7
-17.30,-13.98,4.13,1,37.5,10.3,107.7
-17.27,-13.95,2.46,1,37.5,10.3,107.7
-17.12,-13.82,1.62,1,37.5,10.3,107.7
-17.44,-14.00,4.15,1,37.5,10.3,107.7
-17.32,-13.91,2.46,1,37.5,10.3,107.7
-17.15,-13.76,1.62,1,37.5,10.3,107.7
-17.30,-13.81,4.11,1,37.5,10.3,107.7
-17.38,-13.87,2.46,1,37.5,10.3,107.7
-17.19,-13.71,1.62,1,37.5,10.3,107.7
-17.18,-13.62,4.07,1,37.5,10.3,107.7
-17.32,-13.74,2.45,1,37.5,10.3,107.7
-17.48,-14.92,2.31,1,37.5,10.3,107.7
-17.14,-13.58,1.61,1,37.5,10.3,107.7
-16.98,-14.49,1.43,1,37.5,10.3,107.7
-17.35,-13.67,2.44,1,37.5,10.3,107.7
-17.27,-14.66,2.28,1,37.5,10.3,107.7
-17.09,-13.46,1.60,1,37.5,10.3,107.7
-17.32,-13.56,2.43,1,37.5,10.3,107.7
-17.32,-14.60,2.28,1,37.5,10.3,107.7
-17.13,-13.40,1.60,1,37.5,10.3,107.7
-17.45,-13.58,4.10,1,37.5,10.3,107.7
-17.29,-13.45,2.42,1,37.5,10.3,107.7
-17.36,-14.55,2.28,1,37.5,10.3,107.7
-17.11,-13.30,1.60,1,37.5,10.3,107.7
-17.11,-14.34,1.43,1,37.5,10.3,107.7
-17.31,-13.38,2.42,1,37.5,10.3,107.7
-17.39,-14.48,2.28,1,37.5,10.3,107.7
-17.15,-13.25,1.60,1,37.5,10.3,107.7
-17.10,-14.24,1.43,1,37.5,10.3,107.7
-17.42,-13.39,4.93,1,37.5,10.3,107.7
-17.41,-14.43,4.83,1,37.5,10.3,107.7
-17.34,-13.33,2.42,1,37.5,10.3,107.7
-17.25,-14.28,2.25,1,37.5,10.3,107.7
-17.16,-13.18,1.60,1,37.5,10.3,107.7
-17.14,-14.19,1.43,1,37.5,10.3,107.7
-17.45,-13.32,4.92,1,37.5,10.3,107.7
-17.40,-13.28,4.06,1,37.5,10.3,107.7
-17.31,-13.22,2.41,1,37.5,10.3,107.7
-17.25,-14.19,2.25,1,37.5,10.3,107.7
-17.12,-13.06,1.59,1,37.5,10.3,107.7
-17.09,-14.06,1.42,1,37.5,10.3,107.7
-17.46,-13.24,4.91,1,37.5,10.3,107.7
-17.50,-13.28,3.24,1,37.5,10.3,107.7
-17.28,-13.11,2.40,1,37.5,10.3,107.7
-17.19,-15.13,2.09,1,37.5,10.3,107.7
-17.09,-12.96,1.58,1,37.5,10.3,107.7
-17.12,-13.99,1.42,1,37.5,10.3,107.7
-17.36,-13.09,4.87,1,37.5,10.3,107.7
-17.32,-13.06,3.20,1,37.5,10.3,107.7
